,listing_id,host_id,city,house_title,house_type,price,owner_name,no_of_reviews,rating,occupancy,no_of_guest,bedrooms_no,beds_no,bath_no
424,1416,100316,Orlando,"Private Studio by Universal, Disney and Fl Mall",Entire house,60.0,Lisandra Rodriguez,216,4.5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n271 Reviews', '\U000f0019\nVerified']",3.0,1.0,1.0,1.0
425,1417,100317,Orlando,3 bedroom by Disney and Universal,Entire apartment,89.0,Alessandra,200,4.5,"['6 guests', '3 bedrooms', '4 beds', '2 baths', '\U000f0004\n289 Reviews', '\U000f0019\nVerified']",6.0,3.0,4.0,2.0
426,1418,100318,Orlando,Classy Studio in Downtown Orlando,Entire apartment,114.0,Rafael,278,5.0,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n1104 Reviews', '\U000f0019\nVerified']",3.0,0.5,2.0,1.0
427,1419,100319,Orlando,Studio Apartment attached to House. Free Breakfast,Entire apartment,90.0,Jana,133,5.0,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n133 Reviews', '\U000f0019\nVerified']",4.0,1.0,3.0,1.0
428,1420,100320,Orlando,Amazing Spot by SeaWorld 1 Bedroom Condo/OBD,Entire apartment,65.0,Parc,82,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1116 Reviews']",4.0,1.0,2.0,1.0
429,1421,100321,Orlando,Location location Downtown Condo Lake Eola View,Entire apartment,80.0,Lake Eola,236,5.0,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n239 Reviews', '\U000f0019\nVerified']",4.0,1.0,1.0,1.0
430,1422,100322,Orlando,Deluxe Condo-Apartment 1 Bed/1 Bath/OBD,Entire apartment,69.0,Parc,76,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1224 Reviews']",4.0,1.0,2.0,1.0
431,1423,100323,Orlando,STUDIO TERRACE NEAR UNIVERSAL HOME AWAY FROM HOME,Entire condominium,69.0,Liz Great Place To Relax,114,5.0,"['4 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n176 Reviews', '\U000f0019\nVerified']",4.0,0.5,1.0,1.0
432,1424,100324,Orlando,STUDIO TERRACE NEAR UNIVERSAL HOME AWAY FROM HOME,Entire condominium,69.0,Liz Great Place To Relax,114,5.0,"['4 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n176 Reviews', '\U000f0019\nVerified']",4.0,0.5,1.0,1.0
433,1425,100325,Orlando,Welcome chez Manni,Entire apartment,63.0,Manuella,22,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n22 Reviews', '\U000f0019\nVerified']",4.0,1.0,1.0,1.0
434,1426,100326,Orlando,Little House in the back,Entire guesthouse,50.0,Dilcia,66,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n66 Reviews', '\U000f0019\nVerified']",3.0,1.0,2.0,1.0
436,1427,100327,Orlando,The Veranda of Thornton Park- Pool House,Entire house,100.0,Felicia,102,4.5,"['6 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n16 Reviews', '\U000f0019\nVerified']",6.0,2.0,2.0,2.0
437,1428,100328,Orlando,5- star two impeccable rooms for rent,Private room in house,70.0,Bibi,25,5.0,"['5 guests', '2 bedrooms', '3 beds', '1 private bath', '\U000f0004\n48 Reviews', '\U000f0019\nVerified']",5.0,2.0,3.0,1.0
438,1429,100329,Orlando,Nice Brand New Studio !!,Entire guesthouse,58.0,Yamileth & Alvaro,147,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n149 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
439,1430,100330,Orlando,TOP RATED: Lavish Pool Home close to WDW/Universal,Entire villa,199.0,Adam,82,4.5,"['8 guests', '4 bedrooms', '5 beds', '2.5 baths', '\U000f0004\n136 Reviews', '\U000f0019\nVerified']",8.0,4.0,5.0,2.5
440,1431,100331,Orlando,Inspiration @ South Pointe,Entire condominium,79.0,Doug,86,4.5,"['5 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n91 Reviews', '\U000f0019\nVerified']",5.0,2.0,3.0,2.0
441,1432,100332,Orlando,COMFY FLAT NEAR UNIVERSAL & MILLENIA MALL,Entire apartment,69.0,Maria,95,4.5,"['5 guests', '1 bedroom', '5 beds', '1 bath', '\U000f0004\n322 Reviews', '\U000f0019\nVerified']",5.0,1.0,5.0,1.0
442,1433,100333,Orlando,Lovely 2BR/2.5BA townhome close Universal Orlando,Entire apartment,75.0,Kevin,5,4.5,"['8 guests', '2 bedrooms', '3 beds', '2.5 baths', '\U000f0004\n930 Reviews', '\U000f0019\nVerified']",8.0,2.0,3.0,2.5
443,1434,100334,Orlando,Beautiful house in East Orlando/UCF Area.,Entire house,105.0,Jeannette,32,5.0,"['6 guests', '3 bedrooms', '3 beds', '2 baths', '\U000f0004\n32 Reviews', '\U000f0019\nVerified']",6.0,3.0,3.0,2.0
444,1435,100335,Orlando,Cozy Unit NEXT TO the UNIVERSAL and Other Parks!!!,Entire apartment,74.0,Ekko,41,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n71 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
445,1436,100336,Orlando,Amazing-1- Bedroom Apartment 6 minutes Universal.,Entire apartment,58.0,Kevin,33,4.0,"['7 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n930 Reviews', '\U000f0019\nVerified']",7.0,1.0,3.0,1.0
446,1437,100337,Orlando,Amazing Room w/ Queen Bed and Walk-in Closet,Private room in house,53.0,Enir,268,5.0,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n1041 Reviews', '\U000f0019\nVerified']",3.0,1.0,1.0,1.0
447,1438,100338,Orlando,"Renovated Very Clean, Great Location Lucaya Villa",Entire townhouse,55.0,Andres,68,5.0,"['8 guests', '2 bedrooms', '4 beds', '2 baths', '\U000f0004\n172 Reviews']",8.0,2.0,4.0,2.0
448,1439,100339,Orlando,Pura Vida Stay 2 bedrooms Apartment,Entire apartment,58.0,Mery,18,5.0,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n18 Reviews', '\U000f0019\nVerified']",5.0,2.0,3.0,1.0
449,1440,100340,Orlando,Newly Renovated Studio With Private Entry,Entire guesthouse,65.0,Jay,84,5.0,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n84 Reviews', '\U000f0019\nVerified']",3.0,1.0,2.0,1.0
450,1441,100341,Orlando,"EXTRA LARGE PRIVATE ROOM NEAR AIRPORT, PARKS & ALL",Private room in house,40.0,Jhon,78,5.0,"['5 guests', '1 bedroom', '3 beds', '1 private bath', '\U000f0004\n80 Reviews', '\U000f0019\nVerified']",5.0,1.0,3.0,1.0
451,1442,100342,Orlando,Blue Heron Lakefront getaway!,Tiny house,57.0,Adam,37,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1054 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
452,1443,100343,Orlando,The Coach House - As Seen on “HOUSE HUNTERS”!,Entire guesthouse,93.0,Donovan & Emily,74,5.0,"['6 guests', '2 bedrooms', '4 beds', '2.5 baths', '\U000f0004\n79 Reviews', '\U000f0019\nVerified']",6.0,2.0,4.0,2.5
453,1444,100344,Orlando,1930's historical home in downtown Orlando,Entire house,82.0,Patricia & Frank,139,4.5,"['4 guests', '3 bedrooms', '3 beds', '1 bath', '\U000f0004\n139 Reviews', '\U000f0019\nVerified']",4.0,3.0,3.0,1.0
454,1445,100345,Orlando,Quiet and relaxing home to enjoy your vacations.,Entire house,95.0,Olida,29,5.0,"['6 guests', '3 bedrooms', '3 beds', '1 bath', '\U000f0004\n29 Reviews', '\U000f0019\nVerified']",6.0,3.0,3.0,1.0
455,1446,100346,Orlando,Perfect Studio and location 1210 / Free parking.,Room in aparthotel,78.0,Jean,155,4.5,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n720 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
456,1447,100347,Orlando,2bd/2bath close to amusement parks,Entire condominium,89.0,Maria,163,4.5,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n164 Reviews', '\U000f0019\nVerified']",6.0,2.0,3.0,2.0
457,1448,100348,Orlando,Executive Room Privt Bath/Queen Bed/Walk-in Closet,Private room in house,55.0,Enir,228,5.0,"['3 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n1041 Reviews', '\U000f0019\nVerified']",3.0,1.0,1.0,1.0
458,1449,100349,Orlando,Apartment near Disney Universal Seaworld Outlets,Entire guesthouse,58.0,Marta,26,5.0,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n54 Reviews', '\U000f0019\nVerified']",6.0,2.0,3.0,1.0
460,1450,100350,Orlando,Private room/bath near all Disney/Universal Parks,Private room in condominium,42.0,Carol &,55,5.0,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n55 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
461,1451,100351,Orlando,FREE Disney Shuttle | Spacious Suite Near Orlando Theme Parks,Entire condominium,89.0,Hawthorn Suites By Leavetown,26,4.5,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n26 Reviews', '\U000f0019\nVerified']",6.0,1.0,3.0,1.0
462,1452,100352,Orlando,Studio Suite in the Heart of Orlando!,Entire condominium,70.0,Kay,37,5.0,"['4 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n89 Reviews', '\U000f0019\nVerified']",4.0,0.5,3.0,1.0
463,1453,100353,Orlando,Comfortable Condo 1/1 International Drive Orlando,Entire condominium,60.0,Maria,72,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n233 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
464,1454,100354,Orlando,Studio close to Universal & Disney,Entire house,55.0,Stella & Roger,121,5.0,"['3 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n121 Reviews', '\U000f0019\nVerified']",3.0,0.5,3.0,1.0
465,1455,100355,Orlando,Lilo's Down the Street,Entire apartment,35.0,Lindsey,6,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n6 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
466,1456,100356,Orlando,The Robin Tiny House,Tiny house,62.0,Adam,114,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1054 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
467,1457,100357,Orlando,"A - cottage house: Universal, Disney, Convention",Private room in cottage,49.0,Tony Tung,190,4.5,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n649 Reviews', '\U000f0019\nVerified']",3.0,1.0,1.0,1.0
468,1458,100358,Orlando,Master Bedroom in Lakefront Mansion Downtown #101,Private room in house,60.0,Mike,54,4.0,"['5 guests', '1 bedroom', '3 beds', '2 private baths', '\U000f0004\n1405 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']",5.0,1.0,3.0,2.0
469,1459,100359,Orlando,Superb Deluxe Room King Bed/Sofa/2 Walk-in Closets,Private room in house,53.0,Enir,248,5.0,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n1041 Reviews', '\U000f0019\nVerified']",3.0,1.0,1.0,1.0
470,1460,100360,Orlando,Charming 1 Bedroom/1 Bath Condo/OBD,Entire apartment,59.0,Parc,56,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1224 Reviews']",4.0,1.0,2.0,1.0
471,1461,100361,Orlando,Luxury Home walk distance to Universal Studios,Entire house,99.0,Keyla,47,5.0,"['10 guests', '3 bedrooms', '6 beds', '2 baths', '\U000f0004\n47 Reviews', '\U000f0019\nVerified']",10.0,3.0,6.0,2.0
472,1462,100362,Orlando,LOCATION! Nice suite near all the attractions,Entire apartment,69.0,Alex And Patty,118,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n258 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
473,1463,100363,Orlando,The Mermaid Suite by Downtown Orlando !,Entire guest suite,50.0,Andres & Kelly,59,5.0,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1433 Reviews', '\U000f0019\nVerified']",3.0,1.0,1.0,1.0
474,1464,100364,Orlando,Studio with beautiful views in heart of Orlando,Entire serviced apartment,69.0,Huikang,130,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n228 Reviews', '\U000f0019\nVerified']",4.0,1.0,1.0,1.0
475,1465,100365,Orlando,Beautiful two room apartment,Entire apartment,75.0,Teresa And Lazaro,13,5.0,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n406 Reviews', '\U000f0019\nVerified']",4.0,2.0,2.0,1.0
476,1466,100366,Orlando,Atmospheric Studio in the Garden,Entire guest suite,82.0,Justin,118,5.0,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n287 Reviews', '\U000f1101\n4 References', '\U000f0019\nVerified']",3.0,0.5,1.0,1.0
477,1467,100367,Orlando,Comfortable Town House in Orlando,Entire townhouse,90.0,Johan,139,5.0,"['6 guests', '3 bedrooms', '4 beds', '2.5 baths', '\U000f0004\n183 Reviews', '\U000f0019\nVerified']",6.0,3.0,4.0,2.5
478,1468,100368,Orlando,"4 Luxury Bed/Bath-Disney,Universal, Seaworld,Conv",Entire apartment,78.0,Suitehomeliving,91,5.0,"['4 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n298 Reviews', '\U000f0019\nVerified']",4.0,2.0,2.0,2.0
479,1469,100369,Orlando,The Private Airbnb Condo,Entire condominium,75.0,Sergio,205,5.0,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n3 Reviews', '\U000f0019\nVerified']",4.0,1.0,3.0,1.0
